time,seq,class,rtt,hops
841,83,1,0,3
842,841,2,16.6406,3
843,60,1,0,3
844,44,3,0,3
845,54,1,0,3
846,124,1,0,3
847,112,1,0,3
848,41,1,0,3
849,62,1,0,3
850,101,1,0,3
851,850,30,24.4486,3
852,153,1,0,3
853,93,1,0,3
854,39,1,0,3
855,435,1,0,3
856,57,1,0,3
857,27,1,0,3
858,25,1,0,3
859,58,1,0,3
860,57,1,0,3
861,22,1,0,3
862,37,1,0,3
863,32,1,0,3
864,153,1,0,3
865,0,1,0,3
866,22,1,0,3
867,93,1,0,3
868,51,1,0,3
869,3,1,0,3
870,128,1,0,3
871,112,1,0,3
872,187,1,0,3
873,22,1,0,3
874,53,1,0,3
875,0,1,0,3
876,91,1,0,3
877,162,1,0,3
878,57,1,0,3
879,92,1,0,3
880,101,1,0,3
881,700,2,0,3
882,881,3,19.2006,3
883,52,1,0,3
884,60,1,0,3
885,0,1,0,3
886,102,1,0,3
887,101,1,0,3
888,187,1,0,3
889,37,1,0,3
890,53,1,0,3
891,168,1,0,3
892,891,2,18.2407,3
893,17,1,0,3
894,153,1,0,3
895,153,1,0,3
896,33,1,0,3
897,102,1,0,3
898,3,1,0,3
899,83,1,0,3
900,37,1,0,3
901,6,1,0,3
902,112,1,0,3
903,163,1,0,3
904,32,1,0,3
905,94,1,0,3
906,27,1,0,3
907,60,1,0,3
908,94,1,0,3
909,39,1,0,3
910,163,1,0,3
911,53,1,0,3
912,112,1,0,3
913,3,1,0,3
914,913,10,19.0086,3
915,112,1,0,3
916,76,1,0,3
917,10,1,0,3
918,22,1,0,3
919,27,1,0,3
920,3,1,0,3
921,338,1,0,3
922,42,1,0,3
923,3,1,0,3
924,10,1,0,3
925,924,12,23.1686,3
926,7,1,0,3
927,1,1,0,3
928,51,1,0,3
929,81,1,0,3
930,84,1,0,3
931,42,1,0,3
932,112,1,0,3
933,69,1,0,3
934,182,2,0,3
935,112,1,0,3
936,19,1,0,3
937,124,1,0,3
938,338,1,0,3
939,938,7,21.4406,3
940,0,1,0,3
941,234,2,0,3
942,0,1,0,3
943,10,1,0,3
944,154,1,0,3
945,162,1,0,3
946,180,1,0,3
947,6,1,0,3
948,121,1,0,3
949,54,1,0,3
950,25,1,0,3
951,338,1,0,3
952,58,1,0,3
953,639,2,0,3
954,37,1,0,3
956,76,1,0,3
957,954,2,-1,-1
957,1,1,0,3
958,83,1,0,3
959,54,1,0,3
960,100,1,0,3
961,53,1,0,3
962,961,2,21.5686,3
963,180,1,0,3
964,963,8,23.4887,3
965,168,1,0,3
966,9,1,0,3
967,85,1,0,3
968,52,1,0,3
969,27,1,0,3
970,14,1,0,3
971,970,9,21.1206,3
972,60,1,0,3
973,85,1,0,3
974,102,1,0,3
975,19,1,0,3
976,57,1,0,3
977,180,1,0,3
978,6,1,0,3
979,338,1,0,3
980,69,1,0,3
981,7,1,0,3
982,41,1,0,3
983,982,2,18.2406,3
984,32,1,0,3
985,128,1,0,3
986,84,1,0,3
987,3,1,0,3
988,187,1,0,3
989,153,1,0,3
990,22,1,0,3
991,52,1,0,3
992,9,1,0,3
993,81,1,0,3
994,124,1,0,3
995,42,1,0,3
996,84,1,0,3
997,92,1,0,3
998,5,1,0,3
999,5,1,0,3
1000,32,1,0,3
1001,19,1,0,3
1002,1,1,0,3
1004,37,1,0,3
1005,1002,6,-1,-1
1005,33,1,0,3
1006,92,1,0,3
1007,92,1,0,3
1008,51,1,0,3
1009,19,1,0,3
1010,93,1,0,3
1011,187,1,0,3
1012,162,1,0,3
1013,33,1,0,3
1015,435,1,0,3
1016,1013,5,-1,-1
1016,163,1,0,3
1017,32,1,0,3
1019,81,1,0,3
1020,1017,5,-1,-1
1020,92,1,0,3
1021,83,1,0,3
1022,94,1,0,3
1023,83,1,0,3
1024,41,1,0,3
1025,60,1,0,3
1026,101,1,0,3
1027,41,1,0,3
1028,52,1,0,3
1030,57,1,0,3
1031,1028,8,-1,-1
1031,56,1,0,3
1032,757,2,0,3
1033,163,1,0,3
1034,168,1,0,3
